item_id,sub_order_num,product_name,sku,size,quantity,listed_price,discounted_price,credit_reason
1,406826346276_1,FIVESTAR Georgette Lehengha Choli with Inner Crep and Embroidered with 9mm Sequnce Work with Dupata,6326,Semi Stitched,1,1910.0,1910.0,DELIVERED
2,216649987717_1,"Beautiful pure lakhnovi long kurta embroidery cotton thread work,sequence work ,flair plazoo and duppata",Kb 201,XXL,1,1500.0,1500.0,CANCELLED
3,184970118893_1, PARTY WEAR BEAUTIFUL LOOK FANCY EMBROIDERY AND 5mm SEQUENCE WORK GOWN WITH DUPATTA ,hk 1446,Free Size,1,1561.0,1561.0,DELIVERED
4,916538974169_1,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK),1101 black,Semi Stitched,1,1749.0,1749.0,RTO_COMPLETE
5,528661643961_1,stlish dress,mk -6114,XL,1,750.0,750.0,DELIVERED
6,261363877240_1,Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ,Ad 009 a,XXL,1,1500.0,1500.0,RTO_COMPLETE
7,125088357756_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,CANCELLED
8,223981111637_1,stylish shirt,546149913,XXL,1,500.0,500.0,CANCELLED
9,760155806750_1,Fancy three layer one piece,123,S,1,550.0,550.0,CANCELLED
10,183404359462_1,top & bottom set,akshar 1090,M,1,1368.0,1368.0,RTO_COMPLETE
11,322259568161_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,DELIVERED
12,173534645547_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,DELIVERED
13,493966375185_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,RTO_COMPLETE
14,507255016644_1,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300.0,1300.0,DELIVERED
15,180484790337_1,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300.0,1300.0,CANCELLED
16,354486173123_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,DELIVERED
17,832025757463_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,DELIVERED
18,838020109948_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,CANCELLED
19,581588380617_1,FIVESTAR beautiful Designer Saree on premium Soft Net fabric with Sequence and Embroidery work and blouse on Velvet fabric with Sequence and Embroidery work,323,Free Size,1,1399.0,1399.0,CANCELLED
20,978604039408_1,FIVESTAR Designer Suit On Havy Gorgette febric with Thred and sequnce work and Pent on Gorgette febric and Dupatta on also Gorgette Febric with Thred and Sequnce work,1100,Semi Stitched,1,1749.0,1749.0,DELIVERED
21,641914233092_1,Designer Saree on premium Soft Net fabric with Sequnce work & Ruffle with Vayring and blouse on also soft net febric with inner (Blue),Saree..1,Free Size,1,1444.0,1444.0,DELIVERED
22,938768197643_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,CANCELLED
23,765111140935_1,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300.0,1300.0,DELIVERED
24,673557263786_1,Beautiful heavy embroidery sequence work top sharara with dupatta ,Dhk 1096,XL,1,2000.0,2000.0,DELIVERED
25,520950302337_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,DELIVERED
26,426408564759_1,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK),1101 black,Semi Stitched,1,1749.0,1749.0,CANCELLED
27,130383665484_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,CANCELLED
28,768837658082_1,top & bottom set,akshar 1090,M,1,1368.0,1368.0,DELIVERED
29,605642620102_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1311.0,1311.0,CANCELLED
30,570185609650_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1311.0,1311.0,CANCELLED
31,507304078237_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1311.0,1311.0,DELIVERED
32,1688345391_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,DELIVERED
33,677211623652_1,Stylish designer digital printed work lehenga choli with duppata ,932291795,Semi Stitched,1,1500.0,1500.0,CANCELLED
34,436163379734_1,Heavy Pure Super Slub Cotton With Embroidery Work With Balloon Sleeve With Attached Belt  Dresses ,Ad020,XXL,1,1000.0,1000.0,DELIVERED
35,363376800481_1,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300.0,1300.0,CANCELLED
36,429553639148_1, PARTY WEAR BEAUTIFUL LOOK FANCY EMBROIDERY AND 5mm SEQUENCE WORK GOWN WITH DUPATTA ,hk 1446,Free Size,1,1600.0,1600.0,CANCELLED
37,748959635571_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,CANCELLED
38,545646779706_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,RTO_COMPLETE
39,572323669372_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,DELIVERED
40,403153127441_1,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK),1101 black,Semi Stitched,1,1749.0,1749.0,DELIVERED
41,264002870509_1,Dupatta set with bottom and duppata ,190,L,1,618.0,618.0,DELIVERED
42,849870909835_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,DELIVERED
43,284641390076_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,DELIVERED
44,803134095214_1,Desigener Party Wear Look New Top With Lehengha With Heavy Embroidery Sequence Work,dv1IKTGh,Free Size,1,1499.0,1499.0,DELIVERED
45,546528163157_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,DELIVERED
46,772604862058_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,CANCELLED
47,940712900368_1,Fancy embroidery sequence work gown with dupatta ,Dhk1094,XL,1,1461.0,1461.0,RTO_LOCKED
48,239488734703_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,DELIVERED
49,851847662041_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,DELIVERED
50,675841565482_1,top & bottom set,akshar 1090,M,1,1368.0,1368.0,DELIVERED
51,312073496064_1,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1400.0,RTO_COMPLETE
52,574899849229_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,RTO_COMPLETE
53,114775122169_1,top & bottom set,akshar 1090,XL,1,1368.0,1368.0,RTO_COMPLETE
54,387624086840_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,CANCELLED
55,444981584080_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,DELIVERED
56,301578067962_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,DELIVERED
57,747803875668_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,DELIVERED
58,231138984607_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,DELIVERED
59,534942511093_1,Fancy designer  wear kirti,234,M,1,300.0,300.0,CANCELLED
60,755146728346_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk avdh,Free Size,1,1350.0,1350.0,DELIVERED
61,115964435613_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk avdh,Free Size,1,1311.0,1311.0,DELIVERED
62,323608154730_1,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 maroon,Semi Stitched,1,1999.0,1999.0,CANCELLED
63,641300392975_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,DELIVERED
64,803963214519_1,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1400.0,RTO_COMPLETE
65,248244279818_1,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1400.0,DELIVERED
66,426590723490_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,CANCELLED
67,263871865116_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,CANCELLED
68,520331241821_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,5,1350.0,1350.0,CANCELLED
69,884057591159_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,CANCELLED
70,593818076639_1,top & bottom set,akshar 1090,XXL,1,1368.0,1368.0,CANCELLED
71,400915987718_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,5,1350.0,1350.0,CANCELLED
72,315389638702_1,Kurta Sets ,45678,XXL,1,500.0,500.0,DELIVERED
73,395369627755_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,RTO_COMPLETE
74,473722759765_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,DELIVERED
75,624275479819_1,top & bottom set,akshar 1090,M,1,1400.0,1400.0,CANCELLED
76,912010011757_1, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,DELIVERED
