order_id,sub_order_num,order_date,order_status,state,pincode,gst_amount,meesho_price,shipping_charges,total_price
1,381809810413_1,2022-08-30,Shipped,Jammu & Kashmir,180006,66.68,1400,121,1521
2,940712900368_1,2022-08-10,rto,Uttar Pradesh,208014,69.58,1461,114,1575
3,322259568161_1,2022-08-03,Delivered,Telangana,509001,64.3,1350,108,1440
4,475133679575_1,2022-08-27,Cancelled,Jammu & Kashmir,182101,98.96,2078,0,2078
5,493966375185_1,2022-08-04,rto,Odisha,760001,64.3,1350,108,1458
6,284641390076_1,2022-08-09,Delivered,Maharashtra,400607,64.3,1350,105,1439
7,528661643961_1,2022-08-02,Return,West Bengal,700061,35.72,750,79,829
8,313984293646_1,2022-08-15,Delivered,West Bengal,700091,71.44,1500,110,1610
9,545646779706_1,2022-08-08,rto,Andhra Pradesh,515501,64.3,1350,114,1464
10,755146728346_1,2022-08-13,Delivered,Uttar Pradesh,201009,64.3,1350,114,1448
11,910483967612_1,2022-08-30,Shipped,Assam,788164,24.72,519,0,519
12,933916764856_1,2022-08-23,rto,Chandigarh,144402,116.96,2456,0,2456
13,810704930357_1,2022-08-28,Shipped,Jammu & Kashmir,182204,70.24,1475,0,1475
14,486842794529_1,2022-08-15,rto,Delhi,452001,99.86,2097,0,2097
15,590792915541_1,2022-08-25,Delivered,Uttar Pradesh,226024,24.2,508,0,508
16,756746970573_1,2022-08-15,Return,Tamil Nadu,600117,64.3,1350,114,1448
17,263636176870_1,2022-08-25,Return,Rajasthan,332001,66.68,1400,81,1465
18,668655545003_1,2022-08-18,rto,Andhra Pradesh,533103,64.3,1350,114,1464
19,675841565482_1,2022-08-10,Delivered,Odisha,765015,65.14,1368,81,1449
20,715638312753_1,2022-08-25,Delivered,Jammu & Kashmir,181224,24.72,519,0,519
21,643537959075_1,2022-08-21,Delivered,Punjab,141007,64.3,1350,114,1464
22,796423327995_1,2022-08-30,Shipped,Chhattisgarh,495671,65.14,1368,110,1478
23,520950302337_1,2022-08-06,Return,Telangana,505490,64.3,1350,114,1464
24,781373357372_1,2022-08-29,Shipped,Bihar,848504,60.06,1261,114,1375
25,395369627755_1,2022-08-14,rto,Andhra Pradesh,524003,64.3,1350,114,1464
26,313945993871_1,2022-08-25,Delivered,Rajasthan,324002,23.48,493,0,493
27,740854251861_1,2022-08-27,Delivered,Chhattisgarh,490026,64.0,1344,110,1438
28,315389638702_1,2022-08-14,Delivered,Tamil Nadu,620008,27.68,581,0,581
29,747803875668_1,2022-08-12,Return,West Bengal,700030,64.3,1350,114,1464
30,507323371165_1,2022-08-31,Shipped,Karnataka,560005,100.3,2106,0,2106
31,572323669372_1,2022-08-08,Return,West Bengal,742102,64.3,1350,114,1464
32,115964435613_1,2022-08-13,Exchange,Jammu & Kashmir,185151,62.44,1311,123,1418
33,120234205854_1,2022-08-25,Shipped,Kerala,671533,24.2,508,0,508
34,173534645547_1,2022-08-04,Delivered,Madhya Pradesh,452002,64.3,1350,108,1458
35,498649084066_1,2022-08-26,Return,Kerala,670604,71.44,1500,114,1614
36,485706928032_1,2022-08-26,Shipped,Andhra Pradesh,517520,23.48,493,0,493
37,912010011757_1,2022-08-15,Return,State Bank Of India,735211,64.3,1350,114,1464
38,748208976472_1,2022-08-23,rto,Jammu & Kashmir,180001,66.68,1400,94,1494
39,684818289255_1,2022-08-19,Return,Tamil Nadu,627855,64.3,1350,114,1464
40,640125783153_1,2022-08-25,Delivered,Gujarat,382415,71.44,1500,148,1648
41,403153127441_1,2022-08-08,Delivered,Uttar Pradesh,226016,87.96,1847,0,1847
42,882312666682_1,2022-08-20,Return,Uttar Pradesh,229128,71.52,1502,0,1502
43,485570015946_1,2022-07-29,rto,Madhya Pradesh,465674,71.44,1500,140,1640
44,641300392975_1,2022-08-13,Return,odisha,752022,64.3,1350,114,1464
45,546528163157_1,2022-08-09,Return,Telangana,500020,64.3,1350,114,1448
46,363376800481_1,2022-08-08,rto,West Bengal,711227,61.9,1300,114,1414
47,848334441754_1,2022-08-22,Delivered,Punjab,143101,99.86,2097,0,2101
48,354258590368_1,2022-08-15,Delivered,Assam,782447,64.3,1350,125,1475
49,967475471717_1,2022-07-29,Delivered,Telangana,504293,94.12,617,0,605
50,261363877240_1,2022-08-02,rto,Uttar Pradesh,247001,71.44,1500,110,1610
51,236795271202_1,2022-08-21,Return,Others,600120,64.3,1350,114,1464
52,755828660648_1,2022-08-29,Shipped,Kerala,671121,24.72,519,0,519
53,507304078237_1,2022-08-07,Return,Madhya Pradesh,472118,62.44,1311,114,1409
54,963799194113_1,2022-08-25,Shipped,Uttar Pradesh,285123,24.2,508,0,502
55,248244279818_1,2022-08-13,Return,Gujarat,395003,66.68,1400,101,1501
56,851847662041_1,2022-08-10,Return,Maharashtra,400065,64.3,1350,105,1439
57,458878633167_1,2022-08-22,Delivered,Punjab,160055,100.3,2106,0,2079
58,269083456798_1,2022-08-25,Shipped,Goa,403516,24.2,508,0,508
59,437167650973_1,2022-08-22,Delivered,Odisha,765021,71.9,1510,0,1510
60,736602256273_1,2022-08-24,Delivered,Gujarat,382415,71.44,1500,148,1648
61,384931415630_1,2022-08-22,Delivered,West Bengal,741139,87.96,1847,0,1847
62,621670207763_1,2022-08-26,Cancelled,West Bengal,735217,24.2,508,0,508
63,239488734703_1,2022-08-10,Delivered,Karnataka,577226,64.3,1350,114,1464
64,704165208295_1,2022-08-15,Return,Kerala,682034,64.3,1350,117,1451
65,426207937376_1,2022-08-23,Return,Odisha,758032,66.68,1400,81,1481
66,717389427083_1,2022-08-25,Shipped,Kerala,685602,24.2,508,0,508
67,707632123402_1,2022-08-27,Shipped,Karnataka,560076,26.14,549,0,535
68,220688769897_1,2022-07-30,rto,Assam,788734,76.2,1600,122,1722
69,145765249861_1,2022-08-21,Delivered,Maharashtra,410220,71.3,1497,0,1497
70,832025757463_1,2022-08-04,Delivered,Tamil Nadu,600077,64.3,1350,114,1448
71,133620476043_1,2022-08-18,Return,Uttar Pradesh,282001,64.3,1350,114,1464
72,823942308881_1,2022-08-16,Delivered,Odisha,760006,64.3,1350,114,1464
73,349165630963_1,2022-08-28,Shipped,Uttarakhand,249137,24.2,508,0,508
74,264002870509_1,2022-08-09,Delivered,Gujarat,395010,34.68,728,0,703
75,654530604117_1,2022-08-28,Delivered,Odisha,766100,61.9,1300,114,1398
76,150003921805_1,2022-08-20,Return,Up,231305,80.82,1697,0,1697
77,188317821806_1,2022-08-25,Exchange,Telangana,502220,65.14,1368,110,1478
78,673557263786_1,2022-08-06,Return,Madhya Pradesh,480884,95.24,2000,110,2110
79,231138984607_1,2022-08-13,Delivered,Tamil Nadu,628704,64.3,1350,114,1448
80,641914233092_1,2022-08-05,Delivered,Uttar Pradesh,231224,73.68,1547,0,1547
81,922552445432_1,2022-08-30,Shipped,Uttarakhand,263153,65.14,1368,110,1478
82,406826346276_1,2022-08-01,Delivered,Rajasthan,324008,97.62,2050,0,2050
83,849870909835_1,2022-08-09,Return,Uttarakhand,247671,64.3,1350,114,1464
84,507255016644_1,2022-08-04,Delivered,Telangana,500048,61.9,1300,108,1408
85,537121032423_1,2022-08-18,Return,Assam,781315,74.34,1561,125,1686
86,874997211089_1,2022-08-27,Shipped,Others,742225,66.68,1400,81,1465
87,574899849229_1,2022-08-11,Cancelled,Tamil Nadu,600053,64.3,1350,114,1464
88,583140288760_1,2022-08-26,Delivered,West Bengal,712235,66.68,1400,81,1481
89,710010425387_1,2022-08-30,Shipped,Maharashtra,400095,66.68,1400,110,1510
90,803134095214_1,2022-08-09,Return,Tamil Nadu,612002,78.86,1656,0,1656
91,139089555643_1,2022-08-25,Delivered,Karnataka,560100,24.2,508,0,508
92,974991026344_1,2022-08-15,Return,Delhi,110081,66.68,1400,110,1510
93,704814497883_1,2022-08-20,Delivered,Bihar,813210,66.68,1400,81,1481
94,296540364861_1,2022-08-22,rto,seoni,480661,62.44,1311,114,1425
95,571369750119_1,2022-08-30,Shipped,Punjab,142044,66.68,1400,110,1510
96,542703544972_1,2022-08-25,Delivered,Himachal Pradesh,171207,23.76,499,0,499
97,355746559602_1,2022-08-30,Shipped,Andhra Pradesh,524408,71.44,1500,110,1610
98,768837658082_1,2022-08-07,Delivered,Madhya Pradesh,453771,65.14,1368,81,1449
99,265339595628_1,2022-08-27,Delivered,Gujarat,395010,26.14,549,0,526
100,354486173123_1,2022-08-04,Delivered,Himachal Pradesh,177048,64.3,1350,114,1448
101,397474434265_1,2022-08-28,Delivered,Rajasthan,314001,23.76,499,0,480
102,382786145334_1,2022-07-31,rto,Uttar Pradesh,226010,74.34,1561,108,1669
103,261601009640_1,2022-08-22,Return,Odisha,764001,66.68,1400,81,1481
104,703072596386_1,2022-08-29,Shipped,Uttar Pradesh,211008,59.9,1258,0,1286
105,402972493507_1,2022-08-21,Delivered,Telangana,505530,64.3,1350,114,1464
106,125088357756_1,2022-08-02,Cancelled,Madhya Pradesh,452002,64.3,1350,108,1458
107,203099192349_1,2022-07-31,Delivered,Andhra Pradesh,520001,74.34,1561,108,1651
108,928726855752_1,2022-08-26,Shipped,Madhya Pradesh,485771,99.86,2097,0,2097
109,295645979015_1,2022-08-24,Shipped,Tamil Nadu,606205,66.68,1400,83,1483
110,978604039408_1,2022-08-05,Delivered,Haryana,125004,87.96,1847,0,1847
111,189410351427_1,2022-08-22,Delivered,Maharashtra,411058,27.68,581,0,572
112,301578067962_1,2022-08-12,Return,Kerala,695581,64.3,1350,120,1454
113,658416003246_1,2022-08-30,Shipped,Chhattisgarh,491771,24.2,508,0,508
114,114775122169_1,2022-08-11,rto,Andhra Pradesh,530024,65.14,1368,81,1449
115,473722759765_1,2022-08-14,Delivered,Tamil Nadu,600060,64.3,1350,114,1448
116,803963214519_1,2022-08-13,rto,Delhi,110007,66.68,1400,110,1510
117,184970118893_1,2022-08-02,Delivered,Karnataka,560001,74.34,1561,108,1651
118,736602256273_2,2022-08-24,Delivered,Gujarat,382415,71.44,1500,148,1648
119,237419587792_1,2022-08-27,Delivered,Gujarat,395010,26.14,549,0,526
120,555207008312_1,2022-08-21,Delivered,Gujarat,394160,66.68,1400,81,1481
121,702473758487_1,2022-08-16,Return,Rajasthan,341505,99.86,2097,0,2097
122,105706412059_1,2022-08-25,Return,Maharashtra,411009,66.68,1400,72,1472
123,183404359462_1,2022-08-03,rto,Bihar,805130,65.14,1368,79,1447
124,294779117929_1,2022-08-27,Shipped,Kerala,691004,24.72,519,0,519
125,431854237562_1,2022-08-26,Return,Punjab,146001,27.68,581,0,581
126,118121582107_1,2022-08-26,Shipped,Mumbai,400095,24.2,508,0,499
127,296605193297_1,2022-08-25,rto,Telangana,506001,23.48,493,0,493
128,1688345391_1,2022-08-07,Return,Arunachal Pradesh,792001,64.3,1350,114,1464
129,704133639877_1,2022-08-21,rto,Kerala,673527,66.68,1400,116,1516
130,444981584080_1,2022-08-12,Return,Tamil Nadu,603204,64.3,1350,114,1464
131,765111140935_1,2022-08-06,Delivered,West Bengal,711227,61.9,1300,114,1414
132,923462757835_1,2022-08-22,Return,punjab,143101,99.86,2097,0,2097
133,447323391939_1,2022-07-29,rto,Madhya Pradesh,465674,71.44,1500,140,1640
134,271046524562_1,2022-08-30,Shipped,Delhi,110009,66.68,1400,110,1510
135,346130315989_1,2022-08-15,Return,Andhra Pradesh,532005,64.3,1350,114,1464
136,312073496064_1,2022-08-11,rto,Telangana,500052,66.68,1400,110,1525
137,916538974169_1,2022-08-02,rto,Assam,782435,88.62,1861,0,1861
138,436163379734_1,2022-08-07,Delivered,MAHARASHTRA,421204,51.14,1074,0,1052
139,216649987717_1,2022-08-02,Cancelled,Andhra Pradesh,0,0.0,0,0,0
140,223981111637_1,2022-08-03,Cancelled,Jharkhand,0,0.0,0,0,0
141,760155806750_1,2022-08-03,Cancelled,Telangana,0,0.0,0,0,0
142,180484790337_1,2022-08-04,Cancelled,West Bengal,0,0.0,0,0,0
143,838020109948_1,2022-08-04,Cancelled,Madhya Pradesh,0,0.0,0,0,0
144,581588380617_1,2022-08-05,Cancelled,Uttar Pradesh,0,0.0,0,0,0
