product_id,sku,product_name,category,avg_listed_price,avg_discounted_price
1, Dhk1121,Stylish navratri wear lehnga choli,Electronics,1200.0,1200.0
2,1091,FIVESTAR Designer Women Suit On havy Organza silk febric with Thred with Sequnce work and pent on also organza silk febric with inner and Dupatta also on organza silk febric with Thred work and less work,Apparel,1399.0,1399.0
3,1100,FIVESTAR Designer Suit On Havy Gorgette febric with Thred and sequnce work and Pent on Gorgette febric and Dupatta on also Gorgette Febric with Thred and Sequnce work,Apparel,1749.0,1749.0
4,1101 black,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK),Apparel,1749.0,1749.0
5,1101 blue,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLUE),Apparel,1749.0,1749.0
6,123,Fancy three layer one piece,Electronics,550.0,550.0
7,1265610464, Georgette Silk Saree With Complete Heavy Sequence N Coding Multi Work N Banglori Silk Blouse,Electronics,1500.0,1500.0
8,1502318399,Stylish designer digital printed work lehenga choli with duppata ,Electronics,1500.0,1500.0
9,190,Dupatta set with bottom and duppata ,Apparel,618.0,618.0
10,234,Fancy designer  wear kirti,Electronics,300.0,300.0
11,323,FIVESTAR beautiful Designer Saree on premium Soft Net fabric with Sequence and Embroidery work and blouse on Velvet fabric with Sequence and Embroidery work,Electronics,1399.0,1399.0
12,45678,Kurta Sets ,Apparel,489.3333333333333,489.3333333333333
13,5400 blue,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,Apparel,1999.0,1999.0
14,5400 lavender,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,Apparel,1999.0,1999.0
15,5400 maroon,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,Apparel,1999.0,1999.0
16,5400 skyblue,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,Apparel,1999.0,1999.0
17,5400 white,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,Apparel,1999.0,1999.0
18,5425 black,FIVESTAR Beautiful Designer Women Gorgette Plazo with Banglory silk Blouse and Gorgette duppata,Electronics,1599.0,1599.0
19,5425 pink,FIVESTAR Beautiful Designer Women Gorgette Plazo with Banglory silk Blouse and Gorgette duppata,Electronics,1599.0,1599.0
20,546149913,stylish shirt,Electronics,500.0,500.0
21,6302 green,FIVESTAR wedding special occasions Lehengha choli with Dupata,Apparel,2299.0,2299.0
22,6320,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,Apparel,1941.2,1941.2
23,6326,FIVESTAR Georgette Lehengha Choli with Inner Crep and Embroidered with 9mm Sequnce Work with Dupata,Apparel,1910.0,1910.0
24,921837737,Stylish designer digital printed work lehenga choli with duppata ,Electronics,1500.0,1500.0
25,932291795,Stylish designer digital printed work lehenga choli with duppata ,Electronics,1500.0,1500.0
26,95124932,Kurta Sets ,Apparel,468.0,468.0
27,Ad 009 a,Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ,Apparel,1500.0,1500.0
28,Ad 021,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Apparel,1295.125,1295.125
29,Ad020,Heavy Pure Super Slub Cotton With Embroidery Work With Balloon Sleeve With Attached Belt  Dresses ,Apparel,1000.0,1000.0
30,Dhk 1096,Beautiful heavy embroidery sequence work top sharara with dupatta ,Apparel,2000.0,2000.0
31,Dhk 1100,Stylish designer digital printed work lehenga choli with duppata ,Electronics,1500.0,1500.0
32,Dhk1094,Fancy embroidery sequence work gown with dupatta ,Apparel,1461.0,1461.0
33,Hk 1408a, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Apparel,1350.0,1350.0
34,Hk 1454,Fancy look beautiful embroidery work kurti bottom with duppata,Apparel,1391.578947368421,1385.6842105263158
35,Hk avdh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Apparel,1334.4,1334.4
36,Hk1408b, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Apparel,1344.8,1344.8
37,Hk1436,Dupatta Sets,Apparel,1400.0,1400.0
38,Hk1464,Stylish navratri wear gown,Apparel,1500.0,1350.0
39,Kb 196 b,Beautiful maska cotton kurta set with muslin cotton duppata and pant,Apparel,1400.0,1400.0
40,Kb 198,Kalamkari print full flair narkali sut set,Electronics,1400.0,1400.0
41,Kb 201,"Beautiful pure lakhnovi long kurta embroidery cotton thread work,sequence work ,flair plazoo and duppata",Apparel,1500.0,1500.0
42,Kd1166,Fancy organza dress with kamar belt and hairbelt,Apparel,1184.0,1184.0
43,Saree..1,Designer Saree on premium Soft Net fabric with Sequnce work & Ruffle with Vayring and blouse on also soft net febric with inner (Blue),Electronics,1444.0,1444.0
