return_id,sub_order_num,order_date,state,return_type,revenue_lost
1,940712900368_1,2022-08-10,Uttar Pradesh,RTO,1461
2,493966375185_1,2022-08-04,Odisha,RTO,1350
3,528661643961_1,2022-08-02,West Bengal,Customer Return,750
4,545646779706_1,2022-08-08,Andhra Pradesh,RTO,1350
5,933916764856_1,2022-08-23,Chandigarh,RTO,2456
6,486842794529_1,2022-08-15,Delhi,RTO,2097
7,756746970573_1,2022-08-15,Tamil Nadu,Customer Return,1350
8,263636176870_1,2022-08-25,Rajasthan,Customer Return,1400
9,668655545003_1,2022-08-18,Andhra Pradesh,RTO,1350
10,520950302337_1,2022-08-06,Telangana,Customer Return,1350
11,395369627755_1,2022-08-14,Andhra Pradesh,RTO,1350
12,747803875668_1,2022-08-12,West Bengal,Customer Return,1350
13,572323669372_1,2022-08-08,West Bengal,Customer Return,1350
14,498649084066_1,2022-08-26,Kerala,Customer Return,1500
15,912010011757_1,2022-08-15,State Bank Of India,Customer Return,1350
16,748208976472_1,2022-08-23,Jammu & Kashmir,RTO,1400
17,684818289255_1,2022-08-19,Tamil Nadu,Customer Return,1350
18,882312666682_1,2022-08-20,Uttar Pradesh,Customer Return,1502
19,485570015946_1,2022-07-29,Madhya Pradesh,RTO,1500
20,641300392975_1,2022-08-13,odisha,Customer Return,1350
21,546528163157_1,2022-08-09,Telangana,Customer Return,1350
22,363376800481_1,2022-08-08,West Bengal,RTO,1300
23,261363877240_1,2022-08-02,Uttar Pradesh,RTO,1500
24,236795271202_1,2022-08-21,Others,Customer Return,1350
25,507304078237_1,2022-08-07,Madhya Pradesh,Customer Return,1311
26,248244279818_1,2022-08-13,Gujarat,Customer Return,1400
27,851847662041_1,2022-08-10,Maharashtra,Customer Return,1350
28,704165208295_1,2022-08-15,Kerala,Customer Return,1350
29,426207937376_1,2022-08-23,Odisha,Customer Return,1400
30,220688769897_1,2022-07-30,Assam,RTO,1600
31,133620476043_1,2022-08-18,Uttar Pradesh,Customer Return,1350
32,150003921805_1,2022-08-20,Up,Customer Return,1697
33,673557263786_1,2022-08-06,Madhya Pradesh,Customer Return,2000
34,849870909835_1,2022-08-09,Uttarakhand,Customer Return,1350
35,537121032423_1,2022-08-18,Assam,Customer Return,1561
36,803134095214_1,2022-08-09,Tamil Nadu,Customer Return,1656
37,974991026344_1,2022-08-15,Delhi,Customer Return,1400
38,296540364861_1,2022-08-22,seoni,RTO,1311
39,382786145334_1,2022-07-31,Uttar Pradesh,RTO,1561
40,261601009640_1,2022-08-22,Odisha,Customer Return,1400
41,301578067962_1,2022-08-12,Kerala,Customer Return,1350
42,114775122169_1,2022-08-11,Andhra Pradesh,RTO,1368
43,803963214519_1,2022-08-13,Delhi,RTO,1400
44,702473758487_1,2022-08-16,Rajasthan,Customer Return,2097
45,105706412059_1,2022-08-25,Maharashtra,Customer Return,1400
46,183404359462_1,2022-08-03,Bihar,RTO,1368
47,431854237562_1,2022-08-26,Punjab,Customer Return,581
48,296605193297_1,2022-08-25,Telangana,RTO,493
49,1688345391_1,2022-08-07,Arunachal Pradesh,Customer Return,1350
50,704133639877_1,2022-08-21,Kerala,RTO,1400
51,444981584080_1,2022-08-12,Tamil Nadu,Customer Return,1350
52,923462757835_1,2022-08-22,punjab,Customer Return,2097
53,447323391939_1,2022-07-29,Madhya Pradesh,RTO,1500
54,346130315989_1,2022-08-15,Andhra Pradesh,Customer Return,1350
55,312073496064_1,2022-08-11,Telangana,RTO,1400
56,916538974169_1,2022-08-02,Assam,RTO,1861
